"Index","Format ID","Serialization Format","Uncompressed","GZIP (-9)","LZ4 (-9)","LZMA (-9)"
1,asn1,"ASN.1\n(PER Unaligned)",65,81,84,83
2,avro,"Apache Avro\n(unframed)",100,93,107,91
3,bond,"Microsoft Bond\n(Compact Binary v1)",194,184,212,180
4,bson,"BSON",1184,512,727,539
5,capnproto,"Cap'n Proto",216,136,181,128
6,capnproto-packed,"Cap'n Proto\n(packed)",131,130,141,129
7,cbor,"CBOR",979,504,717,544
8,flatbuffers,"FlatBuffers",320,228,305,217
9,flexbuffers,"FlexBuffers",1201,635,824,636
10,json,"JSON",1141,488,703,521
11,messagepack,"MessagePack",971,525,712,546
12,protobuf,"Protocol Buffers",161,164,180,155
13,smile,"Smile",979,544,724,565
14,thrift,"Apache Thrift\n(Compact Protocol)",150,110,132,109
15,ubjson,"UBJSON",1070,550,771,563
